village,latitude,longitude
Huvina Hipparagi,16.5567894,76.0758061
Rentachintala,16.5523765,79.5528824
Mamadapura,16.5355457,75.5981182
Saidapura,16.5712766,77.2524218
Vemavaram,16.6305665,79.8637135
Telaprolu,16.5742778,80.8958572
,16.6022817,76.88147
Veeravalli,16.6113655,80.9154691
Mulawada,16.5929168,75.7336238
Shiraguppi,16.6163626,74.7146268
Kanchikacherla,16.6854614,80.392076
Ukur,16.6502213,77.5133456
Dhanwada,16.6385558,77.6558617
Babaleshwara,16.6684966,75.5741874
Savalagi,16.6705915,75.347202
Alagura,16.69567,76.3617838
Bhoothpur,16.7000455,78.0518353
Ganapavaram,16.7000666,81.4626553
Khanapur,16.7104355,77.0116128
Pippara,16.7132465,81.5464974
Kovvali,16.728843,81.1713648
Gollapalli,16.7275064,80.9080341
Pedda Voora,16.7291427,79.2082537
Malla,16.7372574,76.5625118
Ukkali,16.7254188,75.8836877
Gudipalli,16.7628613,79.0796085
Vijayarai,16.8099424,81.0341586
Hanwada,16.8112623,77.919934
Honawada,16.8072906,75.420336
Nidamanoor,16.8215148,79.3651133
Kannolli,16.860429,76.1504586
Kakamari,16.8676176,75.2983009
Koppole,16.8992993,79.1513754
Rajapur,16.8647947,78.1611086
Madduru,16.8600838,77.6154832
Penuganchiprolu,16.9034172,80.2467202
Kanamadi,16.9293574,75.3807719
Makkapeta,16.9259821,80.1894277
Atharga,16.9871578,75.8854156
Hanumanpalli,16.942094,77.6849647
Vissannapeta,16.9418867,80.783779
Balanagar,16.9496097,78.1835173
Bilur,16.9465542,75.1826123
Kasthala,16.9517694,79.076072
Kanagal,16.9500008,79.201683
Kamavarapukota,17.0086949,81.1930909
Kosgi,16.9884481,77.7164865
Moratagi,17.0065913,76.4171736
Chagallu,16.9972533,81.6684123
Bonakal,17.0277997,80.2663333
Tipparthy,17.0156363,79.4164082
Pothavaram,17.0178151,81.4119168
Sangam,17.0267684,78.3023127
Devarapalle,17.0363865,81.5580449
Yacharam,17.0446138,78.6646143
Mudola,17.0616459,77.3965285
Munugode,17.0795326,79.0766713
Husnabad,17.0542559,77.6525544
Alamela,17.0931024,76.2191287
Nela Kondapalli,17.1004428,80.0507535
Horti,17.1170282,75.7868602
Kodangal,17.1059881,77.6286928
Firozabad,17.0838201,76.7898612
Narayanpur,17.1622779,78.8800765
Salotagi,17.1321104,76.0201501
Korukonda,17.1687627,81.8297169
Tekmatla,17.1659247,79.5461414
Mothey,17.1688508,79.8031059
Chebrolu,17.1917149,82.3149739
Malakheda,17.1954492,77.1588267
Manura,17.2994576,76.0987165
Kallur,17.2001667,80.5473275
Farahatabad,17.183201,76.7903829
Gangaram,17.1995684,80.8976805
Atanur,17.2399867,76.4812344
Umadi,17.2556008,75.5970009
Jhalaki,17.2550046,75.8020333
Shamshabad,17.2611444,78.3931943
Gobbura,17.2584698,76.6400188
Ramannapeta,17.2872144,79.091519
Hadagila Haruti,17.3051941,76.7278016
Ibrahimpatnam,17.1952924,78.6508564
Kalagi,17.353429,77.1532997
Kotepalli,17.3847039,77.7447533
Valigonda,17.3772563,79.0209072
Timmapuram,17.3811012,82.0547788
Kodli,17.401,77.1918557
Sulapeta,17.4020075,77.3472677
Pata Polavaram,17.398922,82.818375
Nakkapalli,17.4106254,82.7162611
Dornakal,17.4419208,80.1516156
Shankarpalli,17.4531904,78.1320742
Rampachodavaram,17.439828,81.7752354
Motkur,17.4596746,79.2608742
Pedda Geddāda,17.4597214,81.7338373
Addateegala,17.4790515,82.0238193
Gola Buzurg,17.4520234,76.7253172
Jaddangi,17.4794101,82.1573999
Pudimadaka,17.4924469,83.0030712
Kammareddigudam,17.5327545,79.3551731
Rayagiri,17.5348989,78.938931
Marpalli,17.5391381,77.7690138
Rajavommangi,17.5444104,82.2357592
Bayyaram,17.5758073,80.106679
Kotauratla,17.5661434,82.6871809
Bhodhana,17.5703839,76.7525631
Makavarapalem,17.6213072,82.7217643
Wagdari,17.6149452,76.3562495
Kinnisadaka,17.6625699,77.0598859
Kesamudram,17.6903072,79.8971365
Digwal,17.6631684,77.7105684
Kohinura,17.6769961,76.8061218
Y. Ramavaram,17.679801,81.9569892
Komararam,17.7110823,80.3193803
Gollagudem,17.702624,80.6201428
Narsapur,17.7384006,78.279637
Nellipaka,17.6592953,81.0030284
Sabbavaram,17.7905129,83.1244927
Rajeshwara,17.7945208,77.0451667
Gudur,17.7988349,79.9788493
Raghunathpally,17.7607238,79.2584395
Chodavaram,17.8296788,82.9344845
Dubalagundi,17.8564376,77.1940678
Andole,17.8150925,78.0751839
Matala,17.8234453,76.8580322
Vaddadi,17.8480307,82.8746874
Jogipet,17.8368269,78.0731499
Kowdipalle,17.9005108,78.2064706
Gudem Kotha Veedhi,17.8624871,82.1974175
Panthini,17.8456002,79.6032107
Masaipet,17.9068482,78.4633969
Madugula,17.9155283,82.8145453
Anadura,17.9112332,77.4104694
Ashoknagar,17.9524589,79.9494249
Cherial,17.9239547,78.9690304
Allahdurg,17.9640634,77.9277174
Janawada,18.0022991,77.4790504
Hulasuru,18.0182868,77.0105288
Gangaraju Madugula,18.0133775,82.5356453
Kistaram,18.0151286,81.0503551
Bhogapuram,18.0321195,83.4978188
Shankarampet,18.0495442,77.913361
Katapuram,18.1631252,80.3975853
Denkada,18.076142,83.4750949
Pusapatirega,18.0914739,83.551775
Bheemadeverapalli,18.1001836,79.3641724
Nizampet,18.0920331,77.8815974
Mallampali,18.1125866,79.8512452
Husnabad,18.1266495,79.2111468
Bhiknoor,18.1883539,78.39952
Sanigaram,18.1944611,79.0166599
Santhapura,18.1618292,77.4407909
Kangiti,18.2247943,77.6179093
Pitlam,18.2232522,77.8239617
Kamalanagara,18.231026,77.1794898
Budumuru,18.2464389,83.7659573
Anantagiri,18.2339235,83.0071195
Venkatapuram,18.3043854,80.5489974
Domkonda,18.2520872,78.4367073
Pujarikaker,18.3294492,80.8190047
Lingampet,18.2396917,78.1299316
Chipurupalle,18.3120723,83.5686458
Gara,18.331228,84.0532297
Tadikal,18.3120673,79.2895818
Adavi Rangapur,18.3519467,79.9648552
Kalingapatnam,18.3414992,84.1210724
Devadi,18.3810932,84.0140208
Manakondur,18.4013037,79.1859734
Gorlaveedu,18.411117,79.7842476
Uttaravalli,18.4584366,83.476806
Madnur,18.5021779,77.6251363
Kottapalli,18.4894877,79.0947986
Jalumuru,18.5109813,84.0386836
Budithi,18.543812,84.0103254
Kotabommali,18.519154,84.1622758
Mukhalingam ( Srimukhalingam ),18.5960131,83.9639435
Rudrangi,18.6260498,78.7026701
Manthani,18.6512469,79.665771
Nandigam,18.6542597,84.3050415
Veeraghattam,18.6875793,83.6095003
Belagam,18.7604939,83.4149934
Kotturu,18.778697,83.8827672
Kotilingala,18.8621281,79.1973924
Kurupam,18.8661101,83.5541837
Lakshettipet,18.8923573,79.2060607
Komarada,18.8965716,83.4659655
Suvarnapuri,19.0094191,78.3821066
Khanapur,19.0442198,78.6447209
Mamda,19.0773973,78.5220385
Kaddam,19.0991812,78.7800368
Pembi,19.195437,78.6369723
Tandur,19.1519551,79.4488599
Shivani,19.3258753,78.1081277
Karanampettai,11.017729,77.1841748
Lovedale,11.376699,76.7020425
Kattabettu,11.4121305,76.8110265
Aravenu,11.408855,76.8740187
Tiruneermalai,12.963094,80.1135414
Pennalur,12.980932,79.983144
Kariampalayam,11.2019,77.0778537
Uttiramerur,12.6170456,79.7598496
Mukka,13.0224436,74.7899976
Ithalar,11.3428052,76.6380227
Burliar,11.3440408,76.8488013
Periya Bikkatty,11.3743232,76.7513024
Yellanalli,11.3782052,76.744002
Ambalapuzha,9.3799326,76.3634769
Kattur,13.3534848,80.2841728
Ketti Valley,11.3799056,76.7312304
Pykara,11.466415,76.6035063
Glenmorgan,11.4986933,76.6080445
Thalaikundah,11.4473798,76.6736209
Bilikere,12.3345466,76.4527465
T R Bazaar,11.4665615,76.5624131
Thepakkadu,11.5803904,76.5824411
Sampaje,12.5024197,75.5416559
Angallu,13.6293828,78.4850156
Pantheerankave,11.2297832,75.8502839
Kodencherry,11.4321025,76.0056646
Bavali,11.8564375,76.1169799
Vythiri,11.5560885,76.038922
Malappuram,11.788427,92.7110507
Mugalivakkam,13.0205798,80.1685163
Kolapakkam,13.0097074,80.1528994
Tharapakkam,12.9947793,80.1271022
Manancheri,12.9968023,80.1082713
Thandalam,13.00153,80.1182015
Periyapanicheri,13.0124023,80.1336128
Chinnapanicheri,13.0197274,80.1218631
Paraniputhur,13.0225293,80.128496
Thelliyaragaram,13.032247,80.142579
Srinivasapuram,13.0322406,80.1307391
Ayappanthangal,13.0365426,80.1346
Kattupakkam,13.0400552,80.1243027
Agraharam,13.0368815,80.0937909
Chikkarayapuram,13.0168767,80.1010383
Kollaicheri,13.0065328,80.0999502
Srikulathur,12.9957876,80.0765713
Kalattipettai,12.9867936,80.0669087
Daravur,12.9813157,80.051601
Periya Colony,12.9730992,80.0627751
Meppur,13.0291978,80.0828348
Chembarambakkam,13.0323819,80.055997
Palanjur,13.0298065,80.0390086
Neduncheri,13.0439631,80.0523333
Kilmanambedu,13.0633475,80.0502109
Vellavedu,13.0668482,80.0364489
Amudurmedu,13.0971635,80.0551146
Annaikattucheri,13.1046736,80.058153
Sorancheri,13.0972889,80.0737398
Veyalanalur,13.0858357,80.0708645
Chettipalayam,10.9138283,77.0374703
Karanodai,13.2481043,80.1578484
Thirumudivakkam,12.9646786,80.0817377
Palanthandalam,12.960594,80.0764576
Erumaiyur,12.9547388,80.0815988
Edakadu,11.2973653,76.6390569
