village,latitude,longitude
Hadinaru,12.1699939,76.7459612
Hanchanala,16.8705355,75.7332497
Sarawada,16.7146313,75.6380496
Toravi,16.8269061,75.6539194
Katanahalli,16.7659333,75.8068123
Kavalagi,16.8271069,75.8474373
Shivanagi,16.823271,75.9825143
Golageri,16.7997453,76.3624845
Yankanchi,16.8664838,76.3497325
Bhatagunaki,17.2576717,75.8735976
Kannur,17.0323513,75.7032507
Kambagi,16.5597113,75.5381129
Bijaragi,16.9136582,75.4421228
Alagura,16.572386,75.3462795
Yakkundi,16.6269408,75.5234562
Sangapura,16.7164564,75.5908164
Sambra,15.8694928,74.6110659
Kiranagi,17.1452888,76.8491137
Heelalige,12.8175735,77.7081053
Gattahalli,12.8685628,77.7026913
Nimbarga,17.386079,76.5853421
Sanganakallu,15.1738536,76.9671823
Korlagundi,15.2783468,76.9692251
Kesturu,12.6922356,77.0593385
Mallasandra,13.3365639,77.0164868
Shanuboganahalli,12.7578327,77.2301736
Jalamangala,12.820985,77.2210866
Nonavinakere,13.1634549,76.5541504
Hiremegalagere,14.5437426,75.9783255
Arasikeri,14.6701212,76.0738697
Tidagundi,16.996831,75.7562389
Tadavalaga,17.0795617,75.9282464
Rugi,17.0882453,75.9689125
Alura,17.236909,75.997068
Karajagi,17.2829625,76.2160332
Hattikuni,16.8513163,77.1540735
Kodla,17.0395761,77.2564662
Digaon,17.0900858,77.1561849
Dandoti,17.1832598,77.1036038
Bagadala,17.7495997,77.399182
Wadagaon,18.1320166,77.5250334
Dhannura,17.9595598,77.3368059
Halabarga,17.9944685,77.3275906
Thana Kushnura,18.1550479,77.3287132
Mudhol,18.2233882,77.3144117
Murki,18.311069,77.2258972
Nandi Bijalgaon,18.4244602,77.303605
Ekamba,18.2827672,77.3721163
Kotyala,16.7848598,75.4933007
Nidoni,16.7013797,75.5316517
Siddayyana Koppalu,12.5197163,76.836369
Kalluru,13.1744257,76.8424141
Chandrashekharapura,13.1505544,76.8845972
Nagavalli,13.2178144,77.0561312
